Datetime;Open;High;Low;Close;Adj Close;Volume
2024-12-20 09:04:00+01:00;564.057373046875;564.057373046875;563.7214965820312;564.0;564.0;0
2024-12-20 09:05:00+01:00;564.0;564.1967163085938;563.772705078125;563.772705078125;563.772705078125;38
2024-12-20 09:06:00+01:00;564.1123046875;564.1123046875;563.5147705078125;563.5147705078125;563.5147705078125;24
2024-12-20 09:07:00+01:00;563.5;563.6931762695312;563.2467041015625;563.6931762695312;563.6931762695312;69
2024-12-20 09:08:00+01:00;563.6251220703125;563.6251220703125;563.5999755859375;563.5999755859375;563.5999755859375;7
2024-12-20 09:09:00+01:00;563.9757080078125;563.9757080078125;563.9757080078125;563.9757080078125;563.9757080078125;2
2024-12-20 09:10:00+01:00;563.8917236328125;563.8917236328125;563.8917236328125;563.8917236328125;563.8917236328125;1
2024-12-20 09:11:00+01:00;563.8629760742188;563.8629760742188;563.5;563.5;563.5;6
2024-12-20 09:12:00+01:00;563.5;563.764404296875;563.5;563.764404296875;563.764404296875;7
2024-12-20 09:13:00+01:00;563.1431274414062;563.5269165039062;563.0714111328125;563.0714111328125;563.0714111328125;50
2024-12-20 09:14:00+01:00;563.4008178710938;563.4008178710938;563.4008178710938;563.4008178710938;563.4008178710938;2
2024-12-20 09:15:00+01:00;563.323486328125;563.323486328125;562.9329223632812;563.1243286132812;563.1243286132812;20
2024-12-20 09:16:00+01:00;563.1243286132812;563.1243286132812;562.5493774414062;562.5493774414062;562.5493774414062;32
2024-12-20 09:17:00+01:00;563.1007080078125;563.1007080078125;562.6510009765625;562.6510009765625;562.6510009765625;37
2024-12-20 09:18:00+01:00;562.7894897460938;562.7894897460938;562.73291015625;562.73291015625;562.73291015625;10
2024-12-20 09:19:00+01:00;562.6019287109375;562.6727905273438;562.6019287109375;562.6727905273438;562.6727905273438;8
2024-12-20 09:20:00+01:00;562.8154907226562;562.8154907226562;562.8154907226562;562.8154907226562;562.8154907226562;2
2024-12-20 09:21:00+01:00;562.9771728515625;562.9771728515625;562.7630004882812;562.7630004882812;562.7630004882812;2
2024-12-20 09:22:00+01:00;562.5208129882812;562.7578735351562;562.5208129882812;562.7578735351562;562.7578735351562;3
2024-12-20 09:23:00+01:00;562.5999755859375;562.5999755859375;562.3255004882812;562.3255004882812;562.3255004882812;11
2024-12-20 09:24:00+01:00;562.651611328125;562.651611328125;562.3201293945312;562.573974609375;562.573974609375;156
2024-12-20 09:25:00+01:00;562.6090087890625;562.6090087890625;562.5468139648438;562.5468139648438;562.5468139648438;9
2024-12-20 09:26:00+01:00;562.2999877929688;562.335693359375;562.2780151367188;562.2780151367188;562.2780151367188;4
2024-12-20 09:27:00+01:00;562.0999755859375;562.228271484375;562.0001220703125;562.2105102539062;562.2105102539062;11
2024-12-20 09:28:00+01:00;562.1912231445312;562.1962890625;562.1912231445312;562.1962890625;562.1962890625;82
2024-12-20 09:29:00+01:00;562.330078125;562.330078125;562.0460205078125;562.0460205078125;562.0460205078125;23
