Date;Open;High;Low;Close;Adj Close;Volume
2012-12-13;100.1474609375;100.1474609375;100.1474609375;100.1474609375;100.1474609375;0
2012-12-14;98.95761108398438;98.95761108398438;98.95761108398438;98.95761108398438;98.95761108398438;0
2012-12-17;102.35143280029297;102.35143280029297;102.35143280029297;102.35143280029297;102.35143280029297;0
2012-12-18;5.047999858856201;5.047999858856201;5.047999858856201;5.047999858856201;5.047999858856201;0
2012-12-19;5.287749767303467;5.287749767303467;5.287749767303467;5.287749767303467;5.287749767303467;0
2012-12-20;5.184999942779541;5.184999942779541;5.184999942779541;5.184999942779541;5.184999942779541;0
2012-12-21;5.184999942779541;5.184999942779541;5.184999942779541;5.184999942779541;5.184999942779541;0
2012-12-24;5.0929999351501465;5.0929999351501465;5.0929999351501465;5.0929999351501465;5.0929999351501465;0
2012-12-27;4.939000129699707;4.939000129699707;4.939000129699707;4.9029998779296875;4.9029998779296875;20000
2012-12-28;4.914000034332275;4.914000034332275;4.914000034332275;4.914000034332275;4.914000034332275;0
2012-12-31;4.728250026702881;4.728250026702881;4.728250026702881;4.728250026702881;4.728250026702881;0
2013-01-02;5.35099983215332;5.35099983215332;5.35099983215332;5.35099983215332;5.35099983215332;0
2013-01-03;5.47599983215332;5.47599983215332;5.47599983215332;5.47599983215332;5.47599983215332;0
2013-01-04;5.4704999923706055;5.4704999923706055;5.4704999923706055;5.4704999923706055;5.4704999923706055;0
2013-01-07;5.454999923706055;5.454999923706055;5.454999923706055;5.454999923706055;5.454999923706055;0
2013-01-08;5.374750137329102;5.374750137329102;5.374750137329102;5.374750137329102;5.374750137329102;0
2013-01-09;5.505249977111816;5.505249977111816;5.505249977111816;5.505249977111816;5.505249977111816;0
2013-01-10;5.505249977111816;5.505249977111816;5.505249977111816;5.505249977111816;5.505249977111816;0
2013-01-11;5.552499771118164;5.552499771118164;5.552499771118164;5.552499771118164;5.552499771118164;0
2013-01-14;5.569250106811523;5.569250106811523;5.569250106811523;5.569250106811523;5.569250106811523;0
2013-01-15;5.554999828338623;5.554999828338623;5.554999828338623;5.554999828338623;5.554999828338623;0
2013-01-16;5.613500118255615;5.613500118255615;5.613500118255615;5.613500118255615;5.613500118255615;0
2013-01-17;5.693749904632568;5.693749904632568;5.693749904632568;5.693749904632568;5.693749904632568;0
2013-01-18;5.680749893188477;5.680749893188477;5.680749893188477;5.680749893188477;5.680749893188477;0
2013-01-21;5.791500091552734;5.791500091552734;5.791500091552734;5.791500091552734;5.791500091552734;0
2013-01-22;5.791500091552734;5.791500091552734;5.791500091552734;5.791500091552734;5.791500091552734;0
